@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute class {Cells,Background}

@data
97,190.588562,387.700928,-84,-142316,295.578705,-463.578705,0.854111,4066513920,576320,96.885345,186.123642,371.381195,-99.832863,-128621.023438,262.261963,-461.927704,0.844575,5226990592,524450.6875,96.426392,157.192032,295.053314,-183.174652,-61846.039063,81.842857,-448.192169,0.772642,9426270208,280937.125,0.458954,93.790672,93.928185,199.838593,-212.932434,-4773.143555,-86.014351,-339.850525,0.649728,2921397248,64432.796875,3.094673,2.635719,84.646515,27.382296,69.276115,-83.67189,683.434021,-51.009796,-116.333984,0.542896,29874950,4267.249512,12.238831,11.779877,9.144157,Cells
106,227.059464,331.739349,-346,-9448,-147.563614,-544.436401,1.061226,18856226816,157508,106.114586,219.934219,330.76297,-360.57373,-3004.128906,-172.13945,-549.007996,1.04741,18465796096,142029.921875,106.012344,176.798676,330.391357,-424.153015,27386.925781,-291.527527,-556.778503,0.939375,12657824768,70358.078125,0.102242,100.135078,98.17762,252.543076,-345.493561,25808.457031,-281.987701,-408.99942,0.723188,1925606400,16131.977539,5.979507,5.877266,86.815353,27.009724,78.419121,-105.722351,2314.412109,-83.815918,-127.628784,0.57363,21455414,1919.567017,19.299232,19.196991,13.319725,Cells
115,223.293533,428.816986,-568,67688,-454.122864,-681.877136,-1.303599,16735152128,51872,114.558868,216.594696,425.842255,-570.921753,70845.539063,-467.759827,-674.083679,-1.295193,13875610624,42569.535156,111.766708,174.576904,407.820068,-570.778687,79169.507813,-523.054871,-618.502502,-1.179579,2968010496,9110.242188,2.79216,103.559448,95.344193,290.844177,-411.063782,42164.78125,-402.199402,-419.928162,-0.485508,53109740,314.308228,10.99942,8.20726,88.231415,26.048164,82.576988,-115.370758,3194.678223,-103.841461,-126.900055,0.534171,7077128.5,531.698669,26.327454,23.535294,15.328033,Cells
113,201.682922,466.513672,-594,46996,-390.990143,-797.009827,-0.790324,58165719040,164852,112.8787,196.072098,462.619873,-592.204407,49018.835938,-395.588837,-788.819946,-0.778939,54229929984,154630.71875,111.424889,160.002945,430.966827,-566.495117,55659.34375,-409.747467,-723.242798,-0.700339,31539472384,98279.304688,1.453812,103.374702,89.704285,286.93457,-390.560333,32813.398438,-317.615509,-463.505157,-0.594073,3246572288,21283.783203,9.503998,8.050186,88.752922,25.466063,78.404457,-110.345963,3014.090332,-104.871712,-115.820213,0.081657,1459562.75,119.869827,24.125778,22.671967,14.62178,Cells
109,173.925278,467.576721,-480,-35012,-175.677795,-784.322205,-0.611013,85351219200,370448,108.681671,168.990952,459.34549,-474.338501,-31164.859375,-178.679718,-769.997314,-0.603345,78671659008,349656.46875,106.580353,138.544571,406.978149,-438.197662,-10279.90625,-196.776443,-679.618896,-0.557007,44766277632,233136.8125,2.101318,100.178658,81.88414,255.201416,-305.919281,8834.22168,-185.244385,-426.594177,-0.518419,5451393536,58249.71875,8.503014,6.401695,88.424004,25.39572,66.40992,-92.185944,2024.485352,-82.182114,-102.189774,-0.337092,3401903.75,400.306458,20.257668,18.156349,11.754654,Cells
97,172.904602,527.510193,-270,-138328,125.667793,-665.667786,0.370353,45650853888,626212,96.993446,167.327362,514.192566,-272.893036,-127529.835938,109.399353,-655.185425,0.36549,43534761984,584589.875,96.469467,134.444931,430.028839,-278.606323,-71151.390625,22.320189,-579.532837,0.335446,28116602880,362227.0625,0.523979,92.63945,80.717728,259.609894,-225.662476,-12061.200195,-68.207451,-383.117493,0.294445,5050004480,99168.34375,4.353996,3.830017,83.571106,26.166653,74.627548,-78.790558,-6.588684,-39.311745,-118.269371,0.351634,38702276,6234.306641,13.42234,12.898361,9.068344,Cells
120,188.350739,826.099243,-1012,155364,-694.711487,-1329.288452,0.294001,412410511360,402688,119.1549,181.907898,799.984985,-980.368286,146489.90625,-674.115784,-1286.62085,0.289989,360576876544,375162.4375,113.830963,143.693649,639.889954,-786.834473,97408.78125,-547.317566,-1026.351318,0.2667,142068908032,229473.375,5.323936,102.525238,80.549088,356.01178,-446.944458,34752.867188,-323.709045,-570.179871,0.250724,12134953984,60747.867188,16.629662,11.305725,86.674858,24.624697,89.256401,-113.213943,2200.438477,-81.529388,-144.898499,0.366684,51470096,4015.643555,32.480042,27.156105,15.85038,Cells
136,166.355042,1163.874512,-1552,527000,-1277.817627,-1826.182373,0.01824,724306952192,300704,134.833298,159.707291,1123.005249,-1498.837158,492630.78125,-1236.163452,-1761.510864,0.020028,620014731264,275989.84375,127.212593,121.314651,876.749512,-1178.330811,309791.625,-985.136047,-1371.525513,0.035738,207293202432,149296.828125,7.620705,110.303963,65.852753,457.792572,-622.231201,88640.265625,-531.939148,-712.523254,0.099262,12625909760,32610.623047,24.529335,16.90863,89.205612,21.021852,102.194618,-138.230042,4201.455566,-114.241905,-162.21817,0.369359,43980264,2301.722412,45.627686,38.006981,21.098351,Cells
144,130.015381,1298.742065,-1710,608744,-1360.312988,-2059.687012,-0.207515,1430247440384,489124,142.393906,124.490875,1253.002197,-1652.996216,572384.125,-1320.257568,-1985.734863,-0.205137,1210068762624,442859.875,132.660828,92.66655,973.89978,-1302.04126,369716.375,-1069.422485,-1534.660034,-0.18937,366943174656,216445.875,9.733078,113.891273,49.459003,501.038666,-685.395264,109089.171875,-594.003357,-776.78717,-0.12958,15694873600,33409.933594,28.502632,18.769554,90.844765,17.229425,107.044518,-147.790558,5129.936523,-129.60881,-165.972305,0.32903,28881810,1322.303101,51.549141,41.816063,23.046509,Cells
137,113.877129,1223.223633,-1508,367676,-1059.848267,-1956.151733,-0.238809,1826892021760,803360,136.061005,109.964966,1179.383179,-1460.008423,351134.84375,-1033.661865,-1886.35498,-0.238821,1549873053696,727085.375,129.249542,86.269112,912.30896,-1159.499512,246486.984375,-860.128906,-1458.870117,-0.240314,481969405952,358491.0625,6.811462,112.715294,48.237434,469.582855,-623.470825,82730.109375,-503.267487,-743.674194,-0.225613,22465980416,57795.378906,23.345711,16.534248,91.453079,15.755884,100.969772,-139.657791,4630.589355,-123.989815,-155.32576,0.229595,19152086,981.941772,44.607925,37.796463,21.262215,Cells
