@relation segment

@attribute original numeric
@attribute Lipschitz_true_true_5.0 numeric
@attribute Lipschitz_true_true_10.0 numeric
@attribute Lipschitz_true_true_15.0 numeric
@attribute Lipschitz_true_true_20.0 numeric
@attribute Lipschitz_true_true_25.0 numeric
@attribute 'Kuwahara_9_ 10_0' numeric
@attribute 'Kuwahara_9_ 10_1' numeric
@attribute 'Kuwahara_9_ 10_2' numeric
@attribute Gabor_1_1.0_1.0_0_2.0 numeric
@attribute Gabor_2_1.0_1.0_0_2.0 numeric
@attribute Gabor_1_1.0_0.5_0_2.0 numeric
@attribute Gabor_2_1.0_0.5_0_2.0 numeric
@attribute Gabor_1_1.0_0.25_0_2.0 numeric
@attribute Gabor_2_1.0_0.25_0_2.0 numeric
@attribute Gabor_1_1.0_1.0_2_2.0 numeric
@attribute Gabor_2_1.0_1.0_2_2.0 numeric
@attribute Gabor_1_1.0_0.5_2_2.0 numeric
@attribute Gabor_2_1.0_0.5_2_2.0 numeric
@attribute Gabor_1_1.0_0.25_2_2.0 numeric
@attribute Gabor_2_1.0_0.25_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_2.0 numeric
@attribute Gabor_2_2.0_1.0_0_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_3.0 numeric
@attribute Gabor_2_2.0_1.0_0_3.0 numeric
@attribute Gabor_1_2.0_2.0_0_2.0 numeric
@attribute Gabor_2_2.0_2.0_0_2.0 numeric
@attribute Gabor_1_2.0_2.0_0_3.0 numeric
@attribute Gabor_2_2.0_2.0_0_3.0 numeric
@attribute Gabor_1_4.0_1.0_0_2.0 numeric
@attribute Gabor_2_4.0_1.0_0_2.0 numeric
@attribute Gabor_1_4.0_1.0_0_3.0 numeric
@attribute Gabor_2_4.0_1.0_0_3.0 numeric
@attribute Gabor_1_4.0_2.0_0_2.0 numeric
@attribute Gabor_2_4.0_2.0_0_2.0 numeric
@attribute Gabor_1_4.0_2.0_0_3.0 numeric
@attribute Gabor_2_4.0_2.0_0_3.0 numeric
@attribute Gabor_1_2.0_1.0_2_2.0 numeric
@attribute Gabor_2_2.0_1.0_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_2_3.0 numeric
@attribute Gabor_2_2.0_1.0_2_3.0 numeric
@attribute Gabor_1_2.0_2.0_2_2.0 numeric
@attribute Gabor_2_2.0_2.0_2_2.0 numeric
@attribute Gabor_1_2.0_2.0_2_3.0 numeric
@attribute Gabor_2_2.0_2.0_2_3.0 numeric
@attribute Gabor_1_4.0_1.0_2_2.0 numeric
@attribute Gabor_2_4.0_1.0_2_2.0 numeric
@attribute Gabor_1_4.0_1.0_2_3.0 numeric
@attribute Gabor_2_4.0_1.0_2_3.0 numeric
@attribute Gabor_1_4.0_2.0_2_2.0 numeric
@attribute Gabor_2_4.0_2.0_2_2.0 numeric
@attribute Gabor_1_4.0_2.0_2_3.0 numeric
@attribute Gabor_2_4.0_2.0_2_3.0 numeric
@attribute Hessian_6.0 numeric
@attribute Hessian_Trace_6.0 numeric
@attribute Hessian_Determinant_6.0 numeric
@attribute Hessian_Eigenvalue_1_6.0 numeric
@attribute Hessian_Eigenvalue_2_6.0 numeric
@attribute Hessian_Orientation_6.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_6.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_6.0 numeric
@attribute Hessian_12.0 numeric
@attribute Hessian_Trace_12.0 numeric
@attribute Hessian_Determinant_12.0 numeric
@attribute Hessian_Eigenvalue_1_12.0 numeric
@attribute Hessian_Eigenvalue_2_12.0 numeric
@attribute Hessian_Orientation_12.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_12.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_12.0 numeric
@attribute Difference_of_gaussians_12.0_6.0 numeric
@attribute Membrane_projections_0_9_1 numeric
@attribute Membrane_projections_1_9_1 numeric
@attribute Membrane_projections_2_9_1 numeric
@attribute Membrane_projections_3_9_1 numeric
@attribute Membrane_projections_4_9_1 numeric
@attribute Membrane_projections_5_9_1 numeric
@attribute class {cell,back}

@data
111,193,217,236,255,255,112.722221,112.722221,112.722221,2.79192,2.479972,2.799901,2.505127,2.865312,2.436434,3.084326,-5.114878,3.415024,-5.377818,3.223248,-5.841597,3.236944,1.985311,4.743828,-0.135846,2.984148,1.925292,4.100526,0.007968,3.612582,1.836543,6.691113,-2.280975,3.357885,1.770578,5.428543,-3.314951,3.226909,-5.362731,2.71016,-6.317011,3.388164,-5.009374,2.313721,-5.392571,3.875998,-5.713669,3.711105,-6.388022,4.486896,-5.900741,2.866672,-5.241088,76.110794,-34.578354,-4189.42041,32.416691,-101.573395,-0.989412,21466140,17953.34375,19.965431,-21.826248,-0.45015,-10.892519,-32.759975,-0.4731,227800.546875,478.185699,4.368057,112.454857,123.058823,100.888885,1124.548584,7.70059,111.722221,cell
110,188,209,228,242,253,120.055557,120.055557,120.055557,2.792536,2.476654,2.813733,2.517894,2.899916,2.399272,3.419669,-6.48855,3.697229,-6.566735,3.826014,-6.012523,3.198131,2.034399,4.3428,0.183593,2.983053,2.039752,3.828545,0.497518,3.758842,1.764468,5.915877,-2.99975,3.52315,1.828406,4.629112,-3.478145,3.662105,-6.695159,3.220752,-8.928351,3.380549,-6.307203,2.405465,-7.070679,3.350883,-5.794502,4.0316,-7.128438,3.364962,-6.598614,3.866181,-6.891872,79.187637,-44.056915,-4784.082031,28.53327,-116.647102,-0.747109,40911364,21077.339844,24.138142,-26.714615,4.452942,-13.525046,-39.904182,-0.496644,496614.0625,695.858887,5.252602,114.269608,126.052635,104.888885,1142.696045,7.552785,112.25,cell
121,202,219,233,247,255,105.944443,136.5,136.5,3.176661,2.674118,3.037921,2.702735,3.025535,2.548267,2.161888,-8.094576,3.197973,-8.05216,3.569678,-7.051071,3.573892,2.258581,4.87257,-0.385606,3.443573,2.363539,4.7793,-0.243906,3.895818,2.168357,6.481812,-2.096041,3.896686,2.470885,5.421269,-2.107929,3.567204,-8.19691,1.507801,-11.410813,3.214056,-7.863952,0.433196,-9.618289,2.667865,-6.446365,4.300028,-8.23288,2.653894,-7.43874,4.068518,-8.486196,94.554886,-90.685745,-2228.103027,-25.232868,-156.138626,-0.603117,140927424,17136.316406,26.951605,-32.725723,132.03598,-21.076378,-44.375069,-0.439612,581355.1875,542.828979,7.454666,120.309975,131.052628,111.578949,1203.099731,6.984154,119.756943,cell
103,176,194,208,222,236,92.590912,92.590912,92.590912,2.582218,2.094251,2.826368,2.423505,2.949625,2.411409,0.17917,-7.108959,1.280891,-7.078126,1.79355,-6.049399,3.336349,1.705281,4.135421,-2.615836,2.941102,1.597312,2.226428,-3.531037,3.544267,1.895281,5.791022,-3.325449,3.220356,1.902589,4.558804,-4.142735,1.613066,-7.309955,1.07654,-9.28879,1.028527,-7.191494,0.628724,-7.285207,0.939114,-6.21936,1.724953,-7.104504,0.608179,-7.040982,1.137635,-7.508298,87.086578,-35.701355,-3974.656738,29.821947,-101.224655,-0.333111,21888750,17173.212891,25.768545,-30.780136,105.946007,-19.338625,-42.221649,-0.41585,496098.46875,523.632751,4.486382,114.317795,125.222221,106.1875,1143.177979,7.218296,113.411766,cell
106,178,194,206,218,230,92.409088,92.409088,101.611115,2.800988,2.094671,2.891728,2.463757,2.953582,2.521705,1.642108,-8.880771,0.80279,-7.704324,0.40265,-7.046511,3.355124,1.765866,4.888443,-3.102803,3.043364,1.700459,3.406427,-4.314674,3.295148,2.2755,5.142727,-2.486953,2.923219,2.116682,4.389813,-3.519153,0.018472,-7.946056,2.327212,-9.678089,-0.223865,-8.733456,2.176665,-9.556964,-0.353218,-6.690991,-1.460092,-8.461106,-0.428744,-7.097418,-0.79708,-8.341407,68.758469,-28.617157,-2011.988647,18.464943,-75.699257,-0.11499,7261471,8866.896484,27.150667,-34.693207,220.783127,-25.742144,-43.644268,-0.295627,385743.0625,320.486115,4.330833,115.98381,126,109.333336,1159.838135,5.650908,115.143967,cell
94,164,183,198,213,228,90.772728,90.772728,90.772728,2.375939,1.766038,2.502202,2.149803,2.688227,2.329864,-0.663998,-3.238503,-1.197484,-3.920398,-1.756918,-5.305888,2.56931,1.312964,3.779413,-2.644618,2.111435,1.067928,2.860955,-3.97318,2.567992,1.80808,3.145914,-4.412499,1.863396,1.267501,1.508804,-5.486613,-0.491124,-4.076742,2.258704,-4.922474,0.425661,-4.106354,2.577984,-2.796416,-1.009668,-6.275222,0.30756,-5.909417,-0.605485,-5.613791,1.748199,-4.461906,66.516106,69.309357,151.257629,101.70826,36.91045,0.137023,20169930,4198.756348,24.614286,-30.606461,158.820038,-21.92494,-39.287983,-0.21635,282408.5625,301.47525,-0.331779,105.42128,114,99.444443,1054.212769,4.894377,104.842102,cell
90,160,181,198,215,232,90.772728,90.772728,90.772728,2.109679,1.708634,2.408061,2.1547,2.690549,2.336044,1.248651,-2.20001,0.263175,-4.27888,-0.259112,-6.317091,2.221032,1.381856,3.073796,-2.289757,1.631501,0.950638,1.273474,-3.373184,2.426978,1.50957,1.842537,-4.991893,1.938283,1.163675,-0.542087,-5.591995,0.453679,-4.425101,3.76202,-4.178457,0.372208,-2.988012,4.32592,-2.680738,-0.785469,-6.679084,1.968798,-7.522942,0.128998,-5.2663,2.313695,-5.047124,71.961464,95.797287,1707.131348,120.028442,71.566132,0.751194,21553338,2348.594971,28.170731,-36.266861,260.82843,-28.021082,-44.512642,-0.011874,357720.09375,271.971497,-0.570419,104.848373,109.388885,102.888885,1048.483765,1.86831,104.423615,cell
88,159,182,201,220,239,89.5,89.5,89.5,1.946934,1.669649,2.328122,2.167187,2.664242,2.327672,1.559859,-2.079607,0.813583,-4.875328,0.635202,-7.245663,1.854485,1.328037,0.452984,-1.965504,1.50552,1.124895,-0.469847,-1.688887,2.556747,1.320478,0.697733,-5.336843,2.207916,1.099904,-2.079877,-5.601365,0.283331,-5.047015,4.521343,-3.332735,0.574273,-2.66416,6.403579,-0.269672,0.302333,-6.93163,4.104867,-8.988179,1.660699,-5.088366,2.141469,-5.766561,84.113243,99.780106,1052.110962,137.686661,61.873558,1.157768,57223760,5747.625488,33.704517,-43.719955,383.262238,-33.993889,-53.446022,0.156019,723259.125,378.385498,0.451057,105.103127,111.0625,99.8125,1051.03125,3.99524,105.710526,cell
100,179,204,225,246,255,89.5,92.5,94.166664,2.34244,1.975478,2.497814,2.311314,2.709728,2.433566,2.941387,-4.131181,2.919307,-5.850245,1.900545,-7.927516,2.228869,1.534269,1.810016,-2.180442,1.933981,1.334486,2.502952,-2.492854,2.870547,1.534473,1.890916,-4.978038,2.605602,1.377666,-0.696159,-5.148609,2.436616,-6.077159,4.386683,-6.083096,3.071532,-4.7972,3.976178,-3.241567,1.889755,-7.018664,6.196293,-10.151035,3.560259,-5.763602,4.973311,-6.816724,74.863106,62.641022,-1056.698486,107.781609,17.500431,1.331307,31982478,8150.691406,40.765827,-52.719742,542.102417,-40.360924,-65.07856,0.242958,1698088.625,610.961426,3.343979,108.894226,117.3125,100.055557,1088.942261,5.564672,108.668121,cell
104,187,208,223,233,243,95.833336,95.833336,95.833336,2.621703,2.254914,2.792866,2.580076,2.827183,2.575314,3.696719,-7.264544,3.663246,-7.768509,2.63291,-8.221554,2.861206,2.031817,3.533442,-0.866838,2.568598,1.894968,2.22683,-0.766266,3.248064,2.243399,4.003774,-3.381663,3.15509,2.217003,2.10944,-3.44787,4.268674,-7.848093,4.775342,-10.126684,5.355237,-6.682247,2.513462,-8.237607,3.289178,-6.92093,8.203101,-10.865845,5.094883,-6.867762,7.821553,-7.968496,53.117683,-21.501556,-1209.587036,14.901277,-57.904388,1.463582,2450587.25,5300.665039,48.516453,-62.428207,738.677368,-47.077545,-77.77887,0.279036,3673466,942.571472,8.158089,115.603493,122.4375,107.611115,1156.034912,5.435838,114.573532,cell
