@relation segment

@attribute original numeric
@attribute Lipschitz_true_true_5.0 numeric
@attribute Lipschitz_true_true_10.0 numeric
@attribute Lipschitz_true_true_15.0 numeric
@attribute Lipschitz_true_true_20.0 numeric
@attribute Lipschitz_true_true_25.0 numeric
@attribute 'Kuwahara_9_ 10_0' numeric
@attribute 'Kuwahara_9_ 10_1' numeric
@attribute 'Kuwahara_9_ 10_2' numeric
@attribute Gabor_1_1.0_1.0_0_2.0 numeric
@attribute Gabor_2_1.0_1.0_0_2.0 numeric
@attribute Gabor_1_1.0_0.5_0_2.0 numeric
@attribute Gabor_2_1.0_0.5_0_2.0 numeric
@attribute Gabor_1_1.0_0.25_0_2.0 numeric
@attribute Gabor_2_1.0_0.25_0_2.0 numeric
@attribute Gabor_1_1.0_1.0_2_2.0 numeric
@attribute Gabor_2_1.0_1.0_2_2.0 numeric
@attribute Gabor_1_1.0_0.5_2_2.0 numeric
@attribute Gabor_2_1.0_0.5_2_2.0 numeric
@attribute Gabor_1_1.0_0.25_2_2.0 numeric
@attribute Gabor_2_1.0_0.25_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_2.0 numeric
@attribute Gabor_2_2.0_1.0_0_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_3.0 numeric
@attribute Gabor_2_2.0_1.0_0_3.0 numeric
@attribute Gabor_1_2.0_2.0_0_2.0 numeric
@attribute Gabor_2_2.0_2.0_0_2.0 numeric
@attribute Gabor_1_2.0_2.0_0_3.0 numeric
@attribute Gabor_2_2.0_2.0_0_3.0 numeric
@attribute Gabor_1_4.0_1.0_0_2.0 numeric
@attribute Gabor_2_4.0_1.0_0_2.0 numeric
@attribute Gabor_1_4.0_1.0_0_3.0 numeric
@attribute Gabor_2_4.0_1.0_0_3.0 numeric
@attribute Gabor_1_4.0_2.0_0_2.0 numeric
@attribute Gabor_2_4.0_2.0_0_2.0 numeric
@attribute Gabor_1_4.0_2.0_0_3.0 numeric
@attribute Gabor_2_4.0_2.0_0_3.0 numeric
@attribute Gabor_1_2.0_1.0_2_2.0 numeric
@attribute Gabor_2_2.0_1.0_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_2_3.0 numeric
@attribute Gabor_2_2.0_1.0_2_3.0 numeric
@attribute Gabor_1_2.0_2.0_2_2.0 numeric
@attribute Gabor_2_2.0_2.0_2_2.0 numeric
@attribute Gabor_1_2.0_2.0_2_3.0 numeric
@attribute Gabor_2_2.0_2.0_2_3.0 numeric
@attribute Gabor_1_4.0_1.0_2_2.0 numeric
@attribute Gabor_2_4.0_1.0_2_2.0 numeric
@attribute Gabor_1_4.0_1.0_2_3.0 numeric
@attribute Gabor_2_4.0_1.0_2_3.0 numeric
@attribute Gabor_1_4.0_2.0_2_2.0 numeric
@attribute Gabor_2_4.0_2.0_2_2.0 numeric
@attribute Gabor_1_4.0_2.0_2_3.0 numeric
@attribute Gabor_2_4.0_2.0_2_3.0 numeric
@attribute Hessian_6.0 numeric
@attribute Hessian_Trace_6.0 numeric
@attribute Hessian_Determinant_6.0 numeric
@attribute Hessian_Eigenvalue_1_6.0 numeric
@attribute Hessian_Eigenvalue_2_6.0 numeric
@attribute Hessian_Orientation_6.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_6.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_6.0 numeric
@attribute Hessian_12.0 numeric
@attribute Hessian_Trace_12.0 numeric
@attribute Hessian_Determinant_12.0 numeric
@attribute Hessian_Eigenvalue_1_12.0 numeric
@attribute Hessian_Eigenvalue_2_12.0 numeric
@attribute Hessian_Orientation_12.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_12.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_12.0 numeric
@attribute Difference_of_gaussians_12.0_6.0 numeric
@attribute Membrane_projections_0_9_1 numeric
@attribute Membrane_projections_1_9_1 numeric
@attribute Membrane_projections_2_9_1 numeric
@attribute Membrane_projections_3_9_1 numeric
@attribute Membrane_projections_4_9_1 numeric
@attribute Membrane_projections_5_9_1 numeric
@attribute class {cell,back}

@data
101,161,173,180,187,194,70.388885,133.611115,149.277771,4.382421,3.206316,3.783007,2.783736,3.530728,2.079336,13.01276,-20.931864,9.787741,-16.612417,7.203588,-14.695505,5.925786,1.985963,10.655019,-0.905857,6.110434,2.866939,11.330274,0.310652,5.89146,0.645697,12.316201,-6.091958,6.690132,2.151235,13.618904,-3.096339,9.326949,-15.94999,10.647787,-19.143957,10.979903,-17.637817,13.905338,-22.070135,5.834156,-11.624631,4.143595,-13.583822,6.391105,-13.154652,6.69194,-14.896336,194.322647,-181.256638,-12880.228516,-36.019863,-326.493408,0.731898,2772049664,84374.882813,27.818897,-26.053848,-168.498306,-7.663659,-44.444038,1.066816,918282.1875,1352.796265,9.778831,89.726173,106.611115,76.684212,897.261719,9.137802,88.396194,cell
135,204,211,218,225,231,159.055557,159.055557,159.055557,5.546216,5.017076,4.376894,3.835329,3.798109,2.835152,15.378881,-20.404539,12.669898,-17.867537,9.535927,-15.459391,6.4598,4.13427,10.011227,5.950989,7.129837,5.217417,10.893477,7.525939,6.357996,2.272712,12.534984,-1.00808,7.794254,4.217419,15.179686,2.645664,12.3649,-16.847361,12.85811,-18.785645,14.295452,-17.692265,15.472366,-19.873177,7.730135,-12.273588,6.259762,-13.906677,9.416162,-13.420205,9.146802,-15.572483,238.222229,-304.745178,13024.668945,-203.786087,-405.704285,0.840271,3786383360,40770.957031,35.966118,-42.732857,253.284119,-28.476625,-56.98909,1.388031,1484544.875,812.960571,16.750259,103.053513,121.166664,92.411766,1030.535156,10.32852,100.836395,cell
153,227,232,237,242,247,166.055557,166.055557,166.055557,6.574321,5.545187,4.85085,4.557901,3.978235,3.4975,16.42234,-17.943554,14.800662,-17.146193,11.595984,-14.945709,6.662784,5.680514,10.02525,7.308845,7.315514,6.622107,11.253576,8.522102,6.340147,3.915854,11.870684,3.382277,8.119157,5.84611,13.44566,7.381004,14.513045,-16.659016,14.29378,-16.820049,15.890607,-16.833057,15.31939,-16.316334,9.399698,-12.152315,8.158041,-13.498012,11.86726,-13.34964,10.799438,-14.724047,274.998047,-382.527527,34529.894531,-337.229279,-427.825775,1.0166,1201013632,8207.720703,45.231308,-55.395088,489.432404,-38.730106,-72.060066,-1.366406,3408883,1110.88623,21.503067,111.471191,135.125,95,1114.711914,14.055248,108.948914,cell
156,229,236,241,246,251,166.722229,166.722229,166.722229,6.899417,5.480969,5.22636,4.682813,4.215376,3.847688,16.642941,-16.573168,15.951701,-16.601177,13.119265,-13.698043,7.204857,5.549988,11.714017,5.224072,7.650266,6.336355,11.606474,6.018691,6.303395,5.259231,10.365221,7.336493,7.508985,6.644613,11.062945,9.508971,15.508595,-15.920393,15.143843,-15.341381,16.108551,-16.152548,14.788048,-14.601133,10.633,-11.36981,9.866505,-12.218435,13.266727,-13.40505,12.154565,-12.704629,286.719635,-403.516449,40026.636719,-377.44458,-429.588318,-0.99798,442718016,2718.971924,53.030453,-62.93438,398.772583,-38.615429,-87.253334,-1.131106,9369699,2365.645752,23.360893,115.146469,143.125,94.631577,1151.464722,17.643917,111.787582,cell
153,227,234,239,244,249,164.722229,164.722229,164.722229,6.737889,5.352616,5.364582,4.578663,4.556187,3.701508,16.052122,-14.968547,15.978305,-15.081015,13.850742,-12.886949,7.626967,4.92083,12.119191,3.94959,7.797162,5.615086,11.827022,4.883327,6.871238,4.347532,11.103751,3.399934,7.814963,6.123253,12.424569,5.052656,15.311939,-14.541348,15.281125,-13.486862,15.253053,-14.707787,14.589941,-13.26294,11.273293,-10.76637,11.467916,-9.59938,13.469352,-12.683405,13.123284,-11.051552,277.462341,-374.091919,28096.361328,-291.086914,-457.096924,-0.718357,3856783104,27559.324219,58.573296,-65.105408,-54.537415,-31.725534,-98.485283,-1.002539,18891372,4456.86377,22.393265,114.669937,143.75,91,1146.699341,19.892729,110.519608,cell
146,219,228,235,242,249,155.5,155.5,155.5,6.407549,4.946556,5.273509,4.339375,4.751085,3.486215,14.926304,-12.689799,14.803214,-12.740777,13.604408,-11.504409,7.595201,4.2324,12.270391,2.988184,7.569685,4.877448,11.79705,3.34657,7.259146,3.021612,12.22107,-0.527113,7.902399,4.583986,13.017453,0.684407,14.000134,-12.299186,14.619206,-10.964561,13.526607,-12.334339,13.921304,-11.19194,11.559167,-10.005054,12.076392,-8.553192,12.748619,-11.213109,12.39226,-9.626279,259.003632,-309.834686,6239.273438,-176.567627,-443.101746,-0.647124,6819706880,71040.4375,61.950329,-62.521317,-778.585754,-20.618877,-104.423759,-0.92186,27453318,7023.257813,19.227348,111.294113,139.944443,85.789474,1112.941162,20.57807,106.931374,cell
104,168,183,193,203,213,143.5,143.5,143.5,5.015288,2.841767,3.615525,2.413117,3.413818,1.92556,-0.256024,-18.309061,-0.564428,-15.324555,-1.385327,-12.835077,5.641338,1.3048,11.831773,-3.487413,5.912826,2.369439,13.196133,-0.623509,4.984093,0.111646,9.599363,-7.643826,5.539375,1.370397,10.958824,-5.270541,-0.817805,-15.618262,-2.861024,-19.189819,0.099223,-17.31477,-1.035392,-20.871244,0.802447,-11.753284,-0.737294,-14.692679,0.475769,-13.195894,-0.576448,-15.798597,161.4814,-86.589531,-16430.384766,48.705784,-221.884842,0.541444,548979712,73219.289063,25.600748,-23.570755,-217.999863,-4.67909,-42.462421,0.907049,793135.5625,1427.579956,5.260391,85.930115,105,70.941177,859.301147,10.98035,85.527779,cell
148,224,234,239,244,249,147.22728,147.22728,147.22728,6.734629,5.191644,4.66589,3.762019,3.917912,2.760903,2.021722,-16.525143,1.651489,-15.439191,0.342243,-13.746669,7.224913,4.019757,14.612681,5.306847,8.201698,5.591846,16.581142,9.855144,6.002986,2.12607,11.261772,-2.630518,7.442925,3.955827,14.626852,2.225194,1.127338,-15.79612,-0.977609,-18.503601,2.124134,-16.174822,0.250673,-17.551924,2.234159,-12.654674,-1.088919,-15.524909,2.608654,-13.29224,-1.597753,-16.547937,217.861359,-269.40863,7716.506836,-167.287399,-371.529846,0.650178,3027715328,41714.980469,36.45076,-45.971153,343.301147,-32.368374,-59.573933,1.16304,1564177.5,740.142334,15.243126,104.894699,123.3125,93.368423,1048.947021,9.154828,103.899307,cell
170,250,255,255,255,255,161.166672,161.166672,161.166672,7.642987,6.442885,5.541599,4.879145,4.358626,3.602848,3.664948,-9.883904,3.961684,-12.364438,2.382569,-13.027737,8.468717,6.210244,16.305676,10.480303,9.537252,7.776442,17.196617,13.214471,6.838077,4.015126,13.403586,3.361767,8.865692,6.263279,16.734921,8.503808,3.350623,-13.026048,0.903294,-10.666891,4.245501,-11.785566,0.965286,-7.175532,3.841819,-12.286026,-1.360837,-14.647803,5.058064,-11.842853,0.096062,-13.584538,307.705933,-426.818542,41947.65625,-366.853027,-486.784058,0.787193,2620291072,14383.447266,49.620338,-65.17807,893.001221,-52.176376,-78.179764,-1.57007,2872518,676.176025,23.933838,119.185684,138.625,108.526314,1191.856812,9.795924,115.882355,cell
177,255,255,255,255,255,166.833328,166.833328,166.833328,7.871029,6.743552,6.117759,5.459027,4.707058,4.264129,4.191406,-5.053932,5.76402,-8.653283,4.496899,-10.913987,9.31586,7.190662,16.820211,8.922631,10.037424,8.250467,16.678156,9.680179,7.200485,5.668158,13.641369,8.0025,9.529986,7.895036,16.369267,12.817552,5.267067,-9.207603,4.387144,-5.123384,5.631273,-7.887049,4.496796,-1.870521,5.429914,-10.928477,3.298882,-12.011771,7.197614,-9.897786,2.894836,-9.411044,369.601807,-522.170898,67960.851563,-507.860992,-536.480774,1.09632,223335744,819.092407,60.801167,-79.101135,1221.804199,-60.595917,-97.606354,-1.25927,8570654,1369.772705,29.69635,127.930099,149.625,113.894737,1279.301025,12.287086,124.98452,cell
