@relation segment

@attribute original numeric
@attribute Lipschitz_true_true_5.0 numeric
@attribute Lipschitz_true_true_10.0 numeric
@attribute Lipschitz_true_true_15.0 numeric
@attribute Lipschitz_true_true_20.0 numeric
@attribute Lipschitz_true_true_25.0 numeric
@attribute 'Kuwahara_9_ 10_0' numeric
@attribute 'Kuwahara_9_ 10_1' numeric
@attribute 'Kuwahara_9_ 10_2' numeric
@attribute Gabor_1_1.0_1.0_0_2.0 numeric
@attribute Gabor_2_1.0_1.0_0_2.0 numeric
@attribute Gabor_1_1.0_0.5_0_2.0 numeric
@attribute Gabor_2_1.0_0.5_0_2.0 numeric
@attribute Gabor_1_1.0_0.25_0_2.0 numeric
@attribute Gabor_2_1.0_0.25_0_2.0 numeric
@attribute Gabor_1_1.0_1.0_2_2.0 numeric
@attribute Gabor_2_1.0_1.0_2_2.0 numeric
@attribute Gabor_1_1.0_0.5_2_2.0 numeric
@attribute Gabor_2_1.0_0.5_2_2.0 numeric
@attribute Gabor_1_1.0_0.25_2_2.0 numeric
@attribute Gabor_2_1.0_0.25_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_2.0 numeric
@attribute Gabor_2_2.0_1.0_0_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_3.0 numeric
@attribute Gabor_2_2.0_1.0_0_3.0 numeric
@attribute Gabor_1_2.0_2.0_0_2.0 numeric
@attribute Gabor_2_2.0_2.0_0_2.0 numeric
@attribute Gabor_1_2.0_2.0_0_3.0 numeric
@attribute Gabor_2_2.0_2.0_0_3.0 numeric
@attribute Gabor_1_4.0_1.0_0_2.0 numeric
@attribute Gabor_2_4.0_1.0_0_2.0 numeric
@attribute Gabor_1_4.0_1.0_0_3.0 numeric
@attribute Gabor_2_4.0_1.0_0_3.0 numeric
@attribute Gabor_1_4.0_2.0_0_2.0 numeric
@attribute Gabor_2_4.0_2.0_0_2.0 numeric
@attribute Gabor_1_4.0_2.0_0_3.0 numeric
@attribute Gabor_2_4.0_2.0_0_3.0 numeric
@attribute Gabor_1_2.0_1.0_2_2.0 numeric
@attribute Gabor_2_2.0_1.0_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_2_3.0 numeric
@attribute Gabor_2_2.0_1.0_2_3.0 numeric
@attribute Gabor_1_2.0_2.0_2_2.0 numeric
@attribute Gabor_2_2.0_2.0_2_2.0 numeric
@attribute Gabor_1_2.0_2.0_2_3.0 numeric
@attribute Gabor_2_2.0_2.0_2_3.0 numeric
@attribute Gabor_1_4.0_1.0_2_2.0 numeric
@attribute Gabor_2_4.0_1.0_2_2.0 numeric
@attribute Gabor_1_4.0_1.0_2_3.0 numeric
@attribute Gabor_2_4.0_1.0_2_3.0 numeric
@attribute Gabor_1_4.0_2.0_2_2.0 numeric
@attribute Gabor_2_4.0_2.0_2_2.0 numeric
@attribute Gabor_1_4.0_2.0_2_3.0 numeric
@attribute Gabor_2_4.0_2.0_2_3.0 numeric
@attribute Hessian_6.0 numeric
@attribute Hessian_Trace_6.0 numeric
@attribute Hessian_Determinant_6.0 numeric
@attribute Hessian_Eigenvalue_1_6.0 numeric
@attribute Hessian_Eigenvalue_2_6.0 numeric
@attribute Hessian_Orientation_6.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_6.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_6.0 numeric
@attribute Hessian_12.0 numeric
@attribute Hessian_Trace_12.0 numeric
@attribute Hessian_Determinant_12.0 numeric
@attribute Hessian_Eigenvalue_1_12.0 numeric
@attribute Hessian_Eigenvalue_2_12.0 numeric
@attribute Hessian_Orientation_12.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_12.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_12.0 numeric
@attribute Difference_of_gaussians_12.0_6.0 numeric
@attribute Membrane_projections_0_9_1 numeric
@attribute Membrane_projections_1_9_1 numeric
@attribute Membrane_projections_2_9_1 numeric
@attribute Membrane_projections_3_9_1 numeric
@attribute Membrane_projections_4_9_1 numeric
@attribute Membrane_projections_5_9_1 numeric
@attribute class {cell,back}

@data
57,124,148,171,190,207,47.944443,47.944443,52.944443,1.236037,0.426324,1.496153,0.973474,1.746805,1.011589,4.736474,-7.652538,6.081213,-7.943891,6.96121,-7.09691,1.845587,-0.131892,2.420198,-5.888933,1.364365,-0.261096,1.47979,-6.569297,2.738152,0.080712,5.726387,-6.110107,2.142105,-0.105192,3.79711,-6.847513,5.863406,-8.003586,3.046076,-8.568707,5.03044,-7.897356,2.172581,-6.929509,7.837175,-8.61446,5.588521,-8.335976,7.274229,-9.276812,4.853143,-8.206338,112.620468,28.303055,-9413.243164,126.351563,-69.745453,1.062895,30804104,38454.039063,24.445189,-17.788025,-326.223083,2.344699,-37.92075,0.932391,513003.71875,1621.306274,1.643097,69.363724,81.611115,60.35294,693.637207,6.435111,68.614578,cell
67,137,159,180,197,212,72.722221,72.722221,72.722221,1.66361,0.732119,1.765451,1.191119,1.901463,1.136493,6.682585,-9.344415,7.397001,-9.609517,7.559793,-8.477527,2.351592,0.200493,4.128219,-4.810919,2.013366,0.23521,3.837294,-4.98484,3.04892,0.370593,7.148818,-4.739291,2.754863,0.478096,5.930681,-5.112587,7.17465,-9.569921,3.895141,-10.870708,7.099238,-9.454977,3.714422,-9.54036,8.588821,-9.200538,6.092696,-9.541089,8.813604,-10.127759,6.065444,-9.507454,124.349304,-26.036423,-9388.598633,71.728973,-123.801819,1.219439,25917490,38232.289063,25.177399,-21.259163,-234.866562,-2.608304,-39.910023,0.999677,628854.25,1391.418213,4.382072,75.176537,88.888885,62.941177,751.765381,7.242564,74.511696,cell
76,148,168,187,202,215,72.944443,72.944443,72.944443,1.912946,1.115176,1.919612,1.411052,1.972718,1.271948,8.337512,-10.354919,8.461726,-10.340193,7.940001,-9.431172,2.567248,0.643207,4.461542,-3.368656,2.346505,0.757308,4.397994,-3.279609,3.170063,0.689826,7.493931,-3.78985,3.082439,0.965228,6.74819,-3.801542,8.234245,-10.177144,5.146554,-11.293601,8.857283,-9.87273,5.148917,-10.154128,9.178845,-9.611343,6.682046,-9.787236,10.112519,-10.71709,6.94761,-9.411115,134.767319,-62.838234,-7661.592773,30.160442,-155.836914,1.387635,136603392,34595.015625,24.072401,-21.784531,-152.127701,-5.329465,-38.239597,1.055093,513991.125,1083.07666,5.987823,78.734085,91.5,64.058823,787.340881,7.937966,80.027779,cell
81,153,173,193,209,219,72.944443,81.277779,81.277779,1.988411,1.326532,1.956745,1.516395,1.985814,1.376952,9.226877,-9.971952,8.985715,-10.181358,8.081985,-9.792267,2.560018,0.861386,4.088136,-1.932006,2.431197,1.013219,4.043572,-1.837089,3.157691,0.847228,7.470949,-3.063003,3.120315,1.122136,6.954993,-3.102289,8.752634,-9.795462,7.299121,-10.762208,9.687325,-9.880453,6.163816,-9.084421,9.5348,-9.815817,7.294767,-9.765396,10.877211,-10.864305,7.284862,-8.692894,128.929749,-70.623802,-5817.63623,13.42717,-154.674774,1.568786,140944352,28258.263672,20.404608,-18.84742,-90.925148,-5.441024,-32.253815,1.090458,255380.578125,718.925781,5.941597,79.544365,90.333336,64.294121,795.443665,8.864495,82.643272,cell
55,123,147,168,189,210,53.277779,53.277779,53.277779,1.041517,0.520745,1.353152,0.962851,1.696805,1.061803,3.562608,-4.737247,4.731924,-6.458745,5.579704,-7.343055,1.454283,-0.046051,1.391215,-4.555359,0.925654,-0.306479,0.586786,-4.99058,2.454214,0.014754,3.616661,-6.357899,1.620848,-0.450997,1.157491,-8.048074,4.703293,-6.356407,2.971864,-3.747612,3.92585,-5.781721,2.529098,-2.560145,6.05124,-7.885851,4.581065,-6.351495,5.194894,-7.864198,3.73931,-5.310285,103.429947,72.08622,-5997.152832,157.504364,-13.331921,0.616289,151657792,29185.035156,27.017809,-20.236252,-380.216187,1.73174,-42.204243,0.634537,790498.125,1930.370605,-0.096336,67.539917,77.444443,61.052631,675.39917,4.803446,67.726974,cell
63,130,151,172,189,203,54.722221,54.722221,54.722221,1.383275,0.684275,1.650178,1.192629,1.874839,1.231963,5.113097,-8.860919,5.823222,-8.882347,6.365034,-8.655777,1.892262,0.19437,2.246962,-5.535522,1.433717,0.030684,1.229562,-6.491894,2.825251,0.532886,4.60053,-5.477955,2.2559,0.304115,2.731904,-6.886535,5.807584,-8.904367,3.765618,-7.080687,5.436225,-9.291175,3.8598,-6.971718,6.831131,-8.730487,5.397366,-7.889326,6.236868,-9.442825,4.93225,-8.383222,84.361,9.050663,-6967.904785,92.647217,-74.545891,0.729353,2289799.75,27953.533203,28.905455,-28.1735,-226.675522,-7.555254,-48.791744,0.695684,1349724.125,1700.448242,3.688271,76.281822,85.111115,69.684212,762.818237,5.046163,75.926895,cell
81,154,173,191,205,217,81.045456,81.045456,81.045456,1.963977,1.318834,1.999646,1.569566,2.051131,1.457868,7.021239,-12.800544,7.153376,-11.469063,7.222621,-9.860714,2.487501,0.852876,3.272258,-3.556343,2.235311,0.876676,3.050275,-3.314002,3.223355,1.134311,6.509497,-3.449427,3.024854,1.266073,5.104608,-3.8819,7.11677,-11.349513,4.694723,-13.610303,7.291701,-11.92827,5.317868,-14.336318,7.677188,-9.369903,6.235467,-10.108389,7.602602,-10.417745,6.329142,-11.465589,92.611526,-72.582291,-4369.6875,2.828152,-147.992737,0.892311,119835176,22746.939453,31.308435,-35.184586,-50.664825,-16.206873,-54.1623,0.757915,1783415.875,1440.61438,7.958382,85.539528,93.777779,76.117645,855.395264,5.685153,85.684639,cell
99,178,195,211,223,233,86.954544,108.944443,108.944443,2.496022,2.113374,2.322053,1.980718,2.207562,1.714627,8.764657,-13.489015,8.502528,-12.423319,8.04644,-10.617746,3.046166,1.634661,5.006188,-0.10682,3.041763,1.847399,5.278698,0.327135,3.515562,1.759281,7.960326,-1.094188,3.669805,2.160972,7.537628,-1.115555,8.431939,-12.274946,5.607095,-14.795822,9.023931,-12.317373,6.500386,-14.828671,8.501661,-9.719955,6.989124,-11.193251,9.078117,-10.857368,7.655679,-12.328404,130.539566,-149.77446,1296.978516,-84.115349,-215.433563,1.102456,386834752,17244.474609,32.972351,-39.9217,108.86322,-22.904875,-56.938522,0.81056,1846014.25,1158.289185,11.668159,92.839905,102.388885,79.823532,928.399048,7.101596,94.760422,cell
112,195,210,224,234,242,104.722221,104.722221,104.722221,2.83226,2.614155,2.529135,2.255802,2.316215,1.896833,9.801595,-11.822824,9.607024,-11.738836,8.71883,-10.779999,3.385824,2.153634,5.610926,1.245352,3.559646,2.508708,6.443722,2.05955,3.726811,2.155701,8.577719,0.124997,4.11564,2.770112,9.012959,0.503065,9.505939,-11.518748,6.308424,-12.80691,10.18012,-11.465602,7.028498,-11.157379,9.206883,-10.010035,7.554442,-11.138086,10.350598,-11.022374,8.622192,-11.196555,159.896805,-199.08493,6731.620117,-142.719315,-255.450546,1.345095,503692320,12708.332031,32.691589,-41.286766,212.136414,-26.657587,-55.915943,0.838764,1459222.75,856.051453,13.80912,96.909592,105.5625,81.117645,969.095947,8.667671,99.886993,cell
114,196,211,226,237,242,104.722221,122.590912,122.590912,2.96657,2.674255,2.582734,2.325567,2.31636,1.970356,10.108425,-10.2393,10.212093,-10.56351,9.136724,-10.356679,3.409581,2.311331,6.012348,1.193171,3.629533,2.692736,6.805705,2.324098,3.654534,2.373274,8.721461,0.408351,4.143893,2.999597,9.342784,0.940323,10.083339,-10.527287,7.522666,-8.608693,10.632776,-10.734596,7.090069,-7.591351,9.705076,-10.13036,7.850755,-9.811621,11.127707,-10.973534,9.019591,-9.835342,160.308823,-206.317474,8420.994141,-159.192841,-253.442108,-1.516594,378118656,8882.926758,29.815784,-38.700867,234.961288,-26.890787,-50.510948,0.818877,835616.625,557.911987,13.761353,96.968712,108.9375,80.764709,969.687134,9.986705,100.495361,cell
109,191,208,225,238,245,120.13636,120.13636,120.13636,2.808367,2.43014,2.50452,2.234776,2.27889,1.980458,9.91974,-8.878088,10.21226,-9.679661,9.235082,-9.503227,3.235941,2.10985,5.485504,0.592523,3.293705,2.364445,6.055112,1.232113,3.335632,2.350518,8.607369,0.300713,3.71164,2.77502,8.533421,0.177469,10.085931,-9.685965,8.944781,-6.007124,10.272977,-9.716027,8.34601,-5.614254,9.938728,-10.054006,8.288982,-8.997951,11.250127,-10.424553,8.788393,-8.939651,130.960098,-171.246368,5643.796875,-130.166779,-212.325958,-1.165229,197949776,6750.132324,24.587162,-32.272705,178.758484,-23.238138,-41.30727,0.704054,340052.03125,326.493561,11.492065,93.820908,107.9375,78.684212,938.209106,10.763215,97.294113,cell
99,178,197,216,232,245,83.833336,83.833336,83.833336,2.509049,2.020734,2.335166,2.026777,2.236217,1.91827,9.119034,-7.178783,9.820338,-8.486659,8.996961,-8.808352,2.900922,1.702345,4.522773,-0.532924,2.823829,1.816229,4.420856,-0.581646,2.954972,1.92984,7.545233,-1.02259,3.058336,2.149853,6.949311,-1.425986,9.588882,-8.580941,7.401322,-4.353441,9.374534,-8.29413,6.738483,-4.025929,9.891812,-9.81242,8.207088,-7.964118,10.873588,-9.552959,8.537632,-7.937719,87.171028,-105.803619,797.353149,-61.068302,-150.53894,-0.791876,89611160,8004.994629,18.620588,-22.823166,68.318916,-14.955173,-30.691158,0.446254,128985.132813,247.621231,7.532318,88.84774,103.5,74.105263,888.477417,10.950535,90.46405,cell
